Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,Fwd IAT Mean,Bwd IAT Mean,Active Mean,Idle Mean,Label
50.926,2,2,176,292,88,88,88,152,140,146,9189.804814829360248203275341,78.54534029768683972823312257,56,56,39.27267014884341986411656129,39.27267014884341986411656129,88,152,117,29.30870177950569,859,0.000095,0.00535,0,0.0127315,BENIGN
946.13,10,11,1682,4352,730,60,168.2,1514,54,395.6363636363636,6377.559109213321636561571877,22.19568135457072495323052857,400,440,10.56937207360510712058596599,11.62630928096561783264456259,54,1514,287.3333333333333,435.3495949708347,189529.26984126982,0.1051255555555555555555555556,0.0783761,0,0.04505380952380952380952380952,BENIGN
27.421,2,2,158,274,79,79,79,143,131,137,15754.34885671565588417636118,145.8736005251449618905218628,56,56,72.93680026257248094526093140,72.93680026257248094526093140,79,143,108,29.30870177950569,859,0.000003,0.000001,0,0.00685525,BENIGN
983.512,11,13,1963,5692,721,60,178.45454545454547,1514,54,437.84615384615387,7783.331570941686527464840287,24.40234587885048682680028307,440,520,11.18440852780647312895012974,13.21793735104401369785015333,54,1514,318.9583333333333,480.88715578316527,231252.45659722225,0.0983512,0.0722995,0,0.04097966666666666666666666667,BENIGN
32.908,2,2,190,234,95,95,95,123,111,117,12884.40500790081439163729184,121.5509906405737206758235080,56,56,60.77549532028686033791175398,60.77549532028686033791175398,95,123,106,11.789826122551595,139,0.000004,0.001673,0,0.008227,BENIGN
529.72,12,16,1479,10125,343,60,123.25,1514,54,632.8125,21905.91255757758815978252662,52.85811372045609000981650683,480,640,22.65347730876689571849278864,30.20463641168919429132371819,54,1514,414.42857142857144,572.4348639534351,327681.67346938775,0.04810172727272727272727272727,0.03057166666666666666666666667,0,0.01891857142857142857142857143,BENIGN
40.234,2,2,174,190,87,87,87,103,87,95,9047.074613510960878858676741,99.41840234627429537207337078,56,56,49.70920117313714768603668539,49.70920117313714768603668539,87,103,91,6.928203230275509,48,0.000003,0,0,0.0100585,BENIGN
29.584,2,2,170,186,85,85,85,101,85,93,12033.53163872363439697133586,135.2082206598161168199026501,56,56,67.60411032990805840995132504,67.60411032990805840995132504,85,101,89,6.928203230275509,48,0.000004,0.000002,0,0.007396,BENIGN
778.346,16,26,2558,19904,739,60,159.875,1514,54,765.5384615384615,28858.63099444206047182101533,53.96057794348528803385640833,640,1040,20.55641064513725258432625079,33.40416729834803544953015754,54,1514,534.8095238095239,636.0664549773021,404580.5351473923,0.05188973333333333333333333333,0.02939916,0,0.01853204761904761904761904762,BENIGN
428.766,8,10,1330,4260,727,60,166.25,1514,54,426,13037.41434721969559153477654,41.98094065294356362211555954,320,400,18.65819584575269494316247090,23.32274480719086867895308863,54,1514,310.55555555555554,468.44271821313816,219438.58024691357,0.06125228571428571428571428571,0.03155111111111111111111111111,0,0.02382033333333333333333333333,BENIGN
26.798,2,2,194,310,97,97,97,161,149,155,18807.37368460332860661243376,149.2648705127248302112097918,56,56,74.63243525636241510560489589,74.63243525636241510560489589,97,161,126,29.30870177950569,859,0.000003,0.000003,0,0.0066995,BENIGN
1446.481,14,21,2353,15664,739,60,168.07142857142858,1514,54,745.9047619047619,12455.74604851359955644076901,24.19665381017794219212004859,560,840,9.678661524071176876848019435,14.51799228610676531527202915,54,1514,514.7714285714286,587.5136514262838,345172.2906122449,0.1112677692307692307692307692,0.0635373,0,0.04132802857142857142857142857,BENIGN
29.007,2,2,140,226,70,70,70,121,105,113,12617.64401696142310476781467,137.8977488192505257351673734,56,56,68.94887440962526286758368670,68.94887440962526286758368670,70,121,91.5,22.23173407541571,494.25,0.000094,0.005134,0,0.00725175,BENIGN
52196.817,10,8,1080,1346,526,60,108,964,54,168.25,46.47792987070456805824002640,0.3448486140447989386019457853,400,320,0.1915825633582216325566365474,0.1532660506865773060453092379,54,964,134.77777777777777,227.80804676929105,51896.5061728395,5.799646111111111111111111111,7.448773142857142857142857143,0,2.899823166666666666666666667,BENIGN
829.395,8,8,2586,1678,1300,60,323.25,886,54,209.75,5141.096823588278202786368377,19.29117006974963678343853050,320,320,9.645585034874818391719265248,9.645585034874818391719265248,54,1300,266.5,360.16124860956376,129716.125,0.118485,0.09908071428571428571428571429,0,0.051837188,BENIGN
48.283,2,2,174,350,87,87,87,199,151,175,10852.68106787067912101567840,82.84489364786777954973800302,56,56,41.42244682393388977486900151,41.42244682393388977486900151,87,199,131,47.15930449020638,2224,0.000003,0.000002,0,0.01207075,BENIGN
604.399,9,12,1370,6378,462,60,152.22222222222223,1514,54,531.5,12819.34616040066247627808782,34.74525934027025193622094014,360,480,14.89082543154439368695183149,19.85443390872585824926910865,54,1514,368.95238095238096,515.8003006138895,266049.95011337876,0.075549875,0.04154054545454545454545454545,0,0.02878090476190476190476190476,BENIGN
28.447,1,1,71,103,71,71,71,103,103,103,6116.637958308433226702288466,70.30618342883256582416423524,28,28,35.15309171441628291208211762,35.15309171441628291208211762,71,103,87,16,256,0,0,0,0.0142235,BENIGN
37.377,2,2,142,230,71,71,71,127,103,115,9952.644674532466490087486957,107.0176846723921127966396447,56,56,53.50884233619605639831982235,53.50884233619605639831982235,71,127,93,23.57965224510319,556,0.000001,0.00632,0,0.00934425,BENIGN
46.966,2,2,146,178,73,73,73,105,73,89,6898.607503300259762381297109,85.16799386790444151088021122,56,56,42.58399693395222075544010561,42.58399693395222075544010561,73,105,81,13.856406460551018,192,0,0,0,0.0117415,BENIGN
37.146,1,1,84,198,84,84,84,198,198,198,7591.665320626716200936843806,53.84159801862919291444570075,28,28,26.92079900931459645722285037,26.92079900931459645722285037,84,198,141,57,3249,0,0,0,0.018573,BENIGN
