Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,Fwd IAT Mean,Bwd IAT Mean,Active Mean,Idle Mean,Label
15032.917000,5,0,330,0,66,66,66.0,0,0,0.0,21.95182744639646450519217262,0.3326034461575221894726086760,200,0,0.3326034461575221894726086760,0E+6,66,66,66.0,0.0,0.0,3.75822925,0,0.0,3.0065834,BENIGN
57998.798000,6,4,1855,1038,715,54,309.1666666666667,459,60,259.5,49.88034407195818092643919965,0.1724173663047292807688876587,240,160,0.1034504197828375684613325952,0.06896694652189171230755506347,54,715,289.3,233.32768802694633,54441.81,11.5997596,19.30620066666666666666666667,0.0,5.7998798,BENIGN
58502.227000,57,28,3135,1848,55,55,55.0,66,66,66.0,85.17624465817344013245854726,1.452936142071993259333529303,2280,1120,0.9743218835071013621413078856,0.4786142585648918971922214175,55,66,58.62352941176471,5.169995950819293,26.728858131487886,1.043302767857142857142857143,2.163841037037037037037037037,0.0,0.6882614941176470588235294118,BENIGN
45068.369000,2,2,110,132,55,55,55.0,66,66,66.0,5.369619654973535873907484870,0.08875404388386009708937991521,80,80,0.04437702194193004854468995761,0.04437702194193004854468995761,55,66,60.5,5.5,30.25,45.040585,45.038421,0.0,11.26709225,BENIGN
47177.409000,11,7,1206,2738,207,54,109.63636363636364,1102,134,391.14285714285717,83.59933458829839510686142175,0.3815385452812807078913553731,440,280,0.2331624443385604326002727280,0.1483761009427202752910826451,54,1102,219.11111111111111,260.23384545632734,67721.65432098765,4.7177409,7.847346666666666666666666667,0.0,2.620967166666666666666666667,BENIGN
45077.002000,10,10,7548,1358,1454,54,754.8,779,60,135.8,197.5730329182051636885700606,0.4436852299982150543197171808,400,400,0.2218426149991075271598585904,0.2218426149991075271598585904,54,1454,445.3,589.8165053641683,347883.51,5.007279333333333333333333333,5.007264777777777777777777778,0.0,2.2538501,BENIGN
45028.267000,2,2,110,132,55,55,55.0,66,66,66.0,5.374401817418378548745835588,0.08883308789121286857431133204,80,80,0.04441654394560643428715566602,0.04441654394560643428715566602,55,66,60.5,5.5,30.25,45.012830,45.016639,0.0,11.25706675,BENIGN
45043.095000,2,2,110,132,55,55,55.0,66,66,66.0,5.372632586637308115705637013,0.08880384440722823331744854566,80,80,0.04440192220361411665872427283,0.04440192220361411665872427283,55,66,60.5,5.5,30.25,45.028402,45.025399,0.0,11.26077375,BENIGN
41726.157000,7,11,988,2682,357,66,141.14285714285714,979,61,243.8181818181818,87.95442149153587280994988347,0.4313840836097127276782283113,196,308,0.1677604769593327274304221211,0.2636236066503800002478061903,61,979,203.88888888888889,254.58111322302867,64811.543209876545,6.9543595,4.1717915,0.0,2.318119833333333333333333333,BENIGN
14623.593000,2,3,175,239,120,55,87.5,113,60,79.66666666666667,28.31041591488493969983984100,0.3419132356870161799497565338,80,120,0.1367652942748064719799026135,0.2051479414122097079698539203,55,120,82.8,27.82373087851448,774.1600000000001,14.542865,7.266439,0.0,2.9247186,BENIGN
15045.930000,5,5,2765,1347,1454,54,553.0,1101,60,269.4,273.2964994520112748098655251,0.6646315648152025165609570163,200,200,0.3323157824076012582804785081,0.3323157824076012582804785081,54,1454,411.2,536.0018283550907,287297.96,3.7614825,3.7347015,0.0,1.504593,BENIGN
91.283000,1,1,55,66,55,55,55.0,66,66,66.0,1325.548020989669489390138361,21.90988464445734693206840266,40,40,10.95494232222867346603420133,10.95494232222867346603420133,55,66,60.5,5.5,30.25,0,0,0.0,0.0456415,BENIGN
29.101000,1,1,76,450,76,76,76.0,450,450,450.0,18074.98024122882375176110787,68.72616061303735266829318580,28,28,34.36308030651867633414659290,34.36308030651867633414659290,76,450,263.0,187.0,34969.0,0,0,0.0,0.0145505,BENIGN
28.821000,1,1,76,76,76,76,76.0,76,76,76.0,5273.932202213663648034419347,69.39384476596925852676867562,28,28,34.69692238298462926338433781,34.69692238298462926338433781,76,76,76.0,0.0,0.0,0,0,0.0,0.0144105,BENIGN
1236.102000,24,17,15449,5792,1454,54,643.7083333333334,1454,60,340.70588235294116,17183.85699562010254817159102,33.16878380586715335789441324,960,680,19.41587344733687025827965653,13.75291035853028309961475671,54,1454,518.0731707317074,597.0482429436851,356466.6044021416,0.05374356521739130434782608696,0.067191125,0.0,0.03014882926829268292682926829,BENIGN
20364.007000,26,24,4000,2253,1454,54,153.84615384615384,624,60,93.875,307.0613754945183430746218070,2.455312453978237190745416656,1040,960,1.276762476068683339187616661,1.178549977909553851557799995,54,1454,125.06,234.25630493115872,54876.016400000015,0.81456028,0.8831517391304347826086956522,0.0,0.40728014,BENIGN
24.212000,1,1,55,66,55,55,55.0,66,66,66.0,4997.521889971914753015033868,82.60366760284156616553774988,40,40,41.30183380142078308276887494,41.30183380142078308276887494,55,66,60.5,5.5,30.25,0,0,0.0,0.012106,BENIGN
78.886000,2,3,245,323,191,54,122.5,185,60,107.66666666666667,7200.263671627411708034378724,63.38260274319904672565474229,80,120,25.35304109727961869026189691,38.02956164591942803539284537,54,191,113.6,61.28817177890036,3756.2399999999993,0.078886,0.0270035,0.0,0.0157772,BENIGN
0.165000,2,1,145,54,85,60,72.5,54,54,54.0,1206060.606060606060606060606,18181.81818181818181818181818,80,40,12121.21212121212121212121212,6060.606060606060606060606061,54,85,66.33333333333333,13.424687043734844,180.2222222222222,0.000004,0,0.0,0.000055,BENIGN
6635.510000,34,34,11049,27144,1292,77,324.97058823529414,1514,68,798.3529411764706,5755.849964810542068356463934,10.24789353041439165942030078,952,952,5.123946765207195829710150388,5.123946765207195829710150388,68,1514,561.6617647058823,617.4111893814011,381196.57677335636,0.2010760606060606060606060606,0.1976713333333333333333333333,0.0,0.09758102941176470588235294118,BENIGN
1557.990000,16,15,7399,7788,1454,54,462.4375,1454,60,519.2,9747.816096380592943472037690,19.89743194757347608136124109,640,600,10.26964229552179410650902766,9.627789652051681974852213429,54,1454,489.9032258064516,558.2624746790308,311656.99063475546,0.103866,0.07517078571428571428571428571,0.0,0.05025774193548387096774193548,BENIGN
1071.205000,40,35,33283,17108,1454,54,832.075,1454,60,488.8,47041.41597546688075578437367,70.01460971522724408493238923,1600,1400,37.34112518145453017863060759,32.67348453377271390630178164,54,1454,671.88,653.469916879627,427022.9322666666,0.02746679487179487179487179487,0.02917185294117647058823529412,0.0,0.01428273333333333333333333333,BENIGN
4265.778000,161,72,201509,14044,1454,54,1251.608695652174,1454,60,195.05555555555554,50530.75898464477054361478727,54.62075147839385922099087201,6440,2880,37.74223600009189413982631070,16.87851547830196508116456131,54,1454,925.1201716738198,647.4664013858755,419212.7409235757,0.0266611125,0.05465922535211267605633802817,0.0,0.01830806008583690987124463519,BENIGN
