Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,Fwd IAT Mean,Bwd IAT Mean,Active Mean,Idle Mean,Label
6172.634000,8,7,438,456,55,54,54.75,66,60,65.14285714285714,144.8328217743025100791655556,2.430080902253397820120227443,320,280,1.296043147868478837397454636,1.134037754384918982722772807,54,66,59.6,5.388877434122992,29.040000000000003,0.8818048571428571428571428571,1.017150833333333333333333333,0.0,0.4115089333333333333333333333,BENIGN
58735.931000,56,56,3080,3696,55,55,55.0,66,66,66.0,115.3637966511503835701523144,1.906839614068601381324831644,2240,2240,0.9534198070343006906624158218,0.9534198070343006906624158218,55,66,60.5,5.5,30.25,1.066485018181818181818181818,1.066909927272727272727272727,0.0,0.5244279553571428571428571429,BENIGN
46678.499000,209,181,92204,22032,1392,61,441.1674641148325,1292,69,121.72375690607734,2447.293774377792225067048536,8.355024440695918692672615715,5852,5068,4.477436174629351299406606883,3.877588266066567393266008832,61,1392,292.91282051282053,300.88906310660894,90534.2282971729,0.2244046394230769230769230769,0.2593025555555555555555555556,0.0,0.1196884589743589743589743590,BENIGN
158.219000,7,8,2144,902,1260,54,306.2857142857143,341,60,112.75,19251.79656046366112793027386,94.80530151246057679545440181,280,320,44.24247403914826917121205418,50.56282747331230762424234763,54,1260,203.06666666666666,315.3929753321861,99472.72888888893,0.0214705,0.01740471428571428571428571429,0.0,0.01054793333333333333333333333,BENIGN
348.939000,21,24,2953,26501,1292,80,140.61904761904762,1514,69,1104.2083333333333,84410.16911265292787564588653,128.9623687807897655464135565,588,672,60.18243876436855725499299304,68.77993001642120829142056348,69,1514,654.5333333333333,659.3067605026089,434685.4044444445,0.01744695,0.01191665217391304347826086957,0.0,0.0077542,BENIGN
47728.854000,13,8,1467,2272,207,54,112.84615384615384,550,134,284.0,78.33835691927570689210346429,0.4399854226543968560401638807,520,320,0.2723719283098647204058157357,0.1676134943445321356343481450,54,550,178.04761904761904,156.97815322384562,24642.140589569157,3.9774045,6.806324428571428571428571429,0.0,2.272802571428571428571428571,BENIGN
46377.255000,12,8,3709,2076,783,54,309.0833333333333,459,60,259.5,124.7378698890221079276899851,0.4312458768851239686350561283,480,320,0.2587475261310743811810336770,0.1724983507540495874540224513,54,783,289.25,234.2402345883388,54868.4875,4.216114090909090909090909091,6.613100,0.0,2.31886275,BENIGN
9.090000,1,1,76,450,76,76,76.0,450,450,450.0,57865.78657865786578657865787,220.0220022002200220022002200,28,28,110.0110011001100110011001100,110.0110011001100110011001100,76,450,263.0,187.0,34969.0,0,0,0.0,0.004545,BENIGN
18.107000,1,1,76,76,76,76,76.0,76,76,76.0,8394.543546694648478488982162,110.4545203512453747169602916,28,28,55.22726017562268735848014580,55.22726017562268735848014580,76,76,76.0,0.0,0.0,0,0,0.0,0.0090535,BENIGN
15029.487000,5,0,330,0,66,66,66.0,0,0,0.0,21.95683724933525675227637510,0.3326793522626554053375208349,200,0,0.3326793522626554053375208349,0E+6,66,66,66.0,0.0,0.0,3.75737175,0,0.0,3.0058974,BENIGN
15024.834000,5,0,330,0,66,66,66.0,0,0,0.0,21.96363700257853098410271954,0.3327823788269474391530715081,200,0,0.3327823788269474391530715081,0E+6,66,66,66.0,0.0,0.0,3.7562085,0,0.0,3.0049668,BENIGN
15047.336000,11,12,10078,1495,1454,54,916.1818181818181,778,60,124.58333333333333,769.1062391376121328054347959,1.528509764120373200944007630,440,480,0.7310264089271350091471340841,0.7974833551932381917968735463,54,1454,503.17391304347825,610.5149396152265,372728.49149338366,1.5047336,1.366694181818181818181818182,0.0,0.654232,BENIGN
45081.398000,2,2,110,132,55,55,55.0,66,66,66.0,5.368067778199779873729736598,0.08872839302809553510297085286,80,80,0.04436419651404776755148542643,0.04436419651404776755148542643,55,66,60.5,5.5,30.25,45.047914,45.045900,0.0,11.2703495,BENIGN
45064.393000,2,2,110,132,55,55,55.0,66,66,66.0,5.370093412774915219650245816,0.08876187459132091272149166638,80,80,0.04438093729566045636074583319,0.04438093729566045636074583319,55,66,60.5,5.5,30.25,45.032643,45.045463,0.0,11.26609825,BENIGN
45055.954000,2,2,110,132,55,55,55.0,66,66,66.0,5.371099233632917860312091050,0.08877849972946971669937340579,80,80,0.04438924986473485834968670289,0.04438924986473485834968670289,55,66,60.5,5.5,30.25,45.033247,45.036854,0.0,11.2639885,BENIGN
131.517000,2,2,147,153,93,54,73.5,93,60,76.5,2281.073929606058532357033691,30.41431906141411376476044922,80,80,15.20715953070705688238022461,15.20715953070705688238022461,54,93,75.0,18.12456896039186,328.5,0.131517,0.000003,0.0,0.03287925,BENIGN
290.225000,2,1,147,93,93,54,73.5,93,93,93.0,826.9446119390128348694978034,10.33680764923766043586872254,80,40,6.891205099491773623912481695,3.445602549745886811956240848,54,93,80.0,18.384776310850235,338.0,0.290225,0,0.0,0.09674166666666666666666666667,BENIGN
116.212000,2,2,154,160,100,54,77.0,100,60,80.0,2701.958489656834061886896362,34.41985337142463773104326576,80,80,17.20992668571231886552163288,17.20992668571231886552163288,54,100,78.5,21.6043977004683,466.75,0.116212,0.000005,0.0,0.029053,BENIGN
36.015000,4,3,265,193,85,60,66.25,85,54,64.33333333333333,12716.92350409551575732333750,194.3634596695821185617103984,160,120,111.0648340969040677495487991,83.29862557267805081216159933,54,85,65.42857142857143,12.624886340163258,159.3877551020408,0.012005,0.0000485,0.0,0.005145,BENIGN
139.031000,2,2,147,153,93,54,73.5,93,60,76.5,2157.792147075112744639684675,28.77056196100150326186246233,80,80,14.38528098050075163093123116,14.38528098050075163093123116,54,93,75.0,18.12456896039186,328.5,0.139031,0.000002,0.0,0.03475775,BENIGN
15026.960000,5,0,330,0,66,66,66.0,0,0,0.0,21.96052960811767649611098985,0.3327352970926920681228937856,200,0,0.3327352970926920681228937856,0E+6,66,66,66.0,0.0,0.0,3.756740,0,0.0,3.005392,BENIGN
15023.774000,5,0,330,0,66,66,66.0,0,0,0.0,21.96518664351580368554532303,0.3328058582350879346294745914,200,0,0.3328058582350879346294745914,0E+6,66,66,66.0,0.0,0.0,3.7559435,0,0.0,3.0047548,BENIGN
55.489000,1,1,55,66,55,55,55.0,66,66,66.0,2180.612373623601074086755934,36.04317972931572023283894105,40,40,18.02158986465786011641947053,18.02158986465786011641947053,55,66,60.5,5.5,30.25,0,0,0.0,0.0277445,BENIGN
0.073000,1,1,60,54,60,60,60.0,54,54,54.0,1561643.835616438356164383562,27397.26027397260273972602740,40,40,13698.63013698630136986301370,13698.63013698630136986301370,54,60,57.0,3.0,9.0,0,0,0.0,0.0000365,BENIGN
14571.226000,2,3,175,239,120,55,87.5,113,60,79.66666666666667,28.41215969061216949074841060,0.3431420252489392450573479541,80,120,0.1372568100995756980229391816,0.2058852151493635470344087725,55,120,82.8,27.82373087851448,774.1600000000001,14.485110,7.2454275,0.0,2.9142452,BENIGN
151.404000,2,2,108,120,54,54,54.0,60,60,60.0,1505.904731711183324086549893,26.41938125809093551029034900,80,80,13.20969062904546775514517450,13.20969062904546775514517450,54,60,57.0,3.0,9.0,0.151404,0.088653,0.0,0.037851,BENIGN
15023.009000,5,5,2774,1348,1454,54,554.8,1102,60,269.6,274.3791207207557420753725169,0.6656456106762633238121604001,200,200,0.3328228053381316619060802000,0.3328228053381316619060802000,54,1454,412.2,537.2888980799808,288679.36,3.75575225,3.72998525,0.0,1.5023009,BENIGN
15038.957000,5,0,330,0,66,66,66.0,0,0,0.0,21.94301107450470135661668559,0.3324698647652227478275255392,200,0,0.3324698647652227478275255392,0E+6,66,66,66.0,0.0,0.0,3.75973925,0,0.0,3.0077914,BENIGN
